APN,Longitude,Latitude,Name,Address,Community,ConstructionType,HousingType,HCIDLA_Funded,Leverage,TECB,TDC,Photo
2654032001,-118.4652742,34.23210816,Columbus Permanent,8906 N Columbus Ave 1-6 Ca 91343,NORTH HILLS,Rehab,Special Needs / Foster Youth,557200,466000,250000,1273200,http://hcidapp.lacity.org/mpphotos/050008/Photo/Website/CD%207%20-%20Columbus%20Permanent%20-%20050008.jpg
2654001052,-118.4723426,34.2334118,Orion Gardens Apartments,"8955 N Orion Ave 1-32  Los Angeles, Ca 91343",NORTH HILLS,Acquisition + New Construction,Family,3125520,11362911,0,14488431,http://hcidapp.lacity.org/mpphotos/070030/Photo/Website/DSCN2054.JPG
2654011022,-118.4667992,34.23178572,Rayen Apartments,15320 W Rayen St 1-49 Ca 91343,NORTH HILLS,New Construction,Special Needs,4547648,10522216,0,15069864,http://hcidapp.lacity.org/mpphotos/070046/Photo/Website/Rayen%20Apts.JPG
2654037081,-118.4673777,34.21785128,Andalucia Senior Apartments,"15305 W Lanark St  Los Angeles, Ca 91406",NORTH HILLS,New Construction,Seniors,9000040,21031906,0,30031946,http://hcidapp.lacity.org/mpphotos/080001/Photo/Website/CD%206%20-%20Andalucia%20Sr.%20Apts.%20-%20080001.JPG
2654021043,-118.465665,34.22669126,Columbus Square,8557 N Columbus Ave Ca 91343,NORTH HILLS,Rehab,Seniors,2350000,9475459,0,11825459,http://hcidapp.lacity.org/mpphotos/080003/Photo/Website/CD%207%20-%20Columbus%20Square.jpg
2656018034,-118.4679977,34.24038519,Crossings At North Hills,9311 N Sepulveda Blvd 1-4 Ca 91343,NORTH HILLS,Acquisition + New Construction,Family,3620719,13390025,0,17010744,http://hcidapp.lacity.org/mpphotos/09-104740/Photo/Website/crossingnh1512_011-.png
2654037082,-118.4670248,34.21809169,La Coruna Senior Apartments,15301 W Lanark St 1-87 Ca 91406,NORTH HILLS,New Construction,Seniors,2123930,23513261,0,25637191,http://hcidapp.lacity.org/mpphotos/10-117634/Photo/Website/10-117634.JPG
2536015225,-118.4022262,34.26192114,Osborne Family,12360 W Osborne St 1-2 Ca 91331,PACOIMA,New Construction,Large Family / Waiver Required,2754000,14999914,0,17753914,http://hcidapp.lacity.org/mpphotos/050033/Photo/Website/CD_7_-_Osborne_Family_Apts..png
2537001032,-118.3999147,34.26094348,Osborne Place Apartments,"12230-12232 W Osborne Pl  Los Angeles, Ca 91331",PACOIMA,New Construction,"Special Needs / Homeless, Mentally Ill Individuals",816074,27660460,0,28476534,http://hcidapp.lacity.org/mpphotos/10-117638/Photo/Website/10-117638%20.JPG
2536015029,-118.4027443,34.26151221,Moonlight Villas,"12381 W Osborne St  Los Angeles, Ca 91331",PACOIMA,New Construction,Special Needs,2044211,10243590,0,12287801,http://hcidapp.lacity.org/mpphotos/12-118879/Photo/Website/Moonlight%20Villas.png
2626005032,-118.4183762,34.24746335,Laurel Village,"9700 N Laurel Canyon Blvd  Pacoima, Ca 91331",PACOIMA,Acquisition + Rehab,Family,0,13426883,9100000,22526883,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
2644025006,-118.4500325,34.24500436,Villas Las Americas,9618 N Van Nuys Blvd 1-55 Ca 91402,PANORAMA CITY,New Construction,Large Family / Waiver Required,4657000,14709148,0,19366148,http://hcidapp.lacity.org/mpphotos/060069/Photo/Website/CD%207%20-%20Villas%20Las%20Americas%20-%20060069.jpg
2644025255,-118.4499008,34.24534852,Asturias Senior Apts.,9628 N Van Nuys Blvd Ca 91402,PANORAMA CITY,New Construction,Seniors,6437840,18806838,0,25244678,http://hcidapp.lacity.org/mpphotos/070019/Photo/Website/CD_7_-_Asturias_Sr._Apts._-_070019.png
2644025254,-118.4496883,34.24569664,Cantabria Senior Apts.,9640 N Van Nuys Blvd Ca 91402,PANORAMA CITY,New Construction,Seniors,7561160,23323383,0,30884543,http://hcidapp.lacity.org/mpphotos/070022/Photo/Website/CD%207%20-%20Cantabria%20Sr.%20Apts..jpg
2639008137,-118.4499913,34.23798313,Panorama View,9222 N Van Nuys Blvd 1-89 Ca 91402,PANORAMA CITY,Rehab,Seniors,2175000,12467773,0,14642773,http://hcidapp.lacity.org/mpphotos/070031/Photo/Website/CD%207%20-%20Panorama%20View.jpg
2210020003,-118.4527125,34.21532107,Montecito Terraces,"14653 W Blythe St  Van Nuys, Ca 91402",PANORAMA CITY,Acquisition + New Construction,Seniors,3035582,21684852,0,24720434,http://hcidapp.lacity.org/mpphotos/09-117301/Photo/Website/Montecito__14655_Blythe.png
2210021029,-118.4539433,34.21508867,Montecito Terraces (Site 2),14726 W Blythe St Ca 91402,PANORAMA CITY,Acquisition + New Construction,Seniors,3035582,21684852,0,24720434,http://hcidapp.lacity.org/mpphotos/09-117301/Photo/Website%20Site2/Montecito_14726_Blythe%20Site%202.png
2651012028,-118.4548703,34.23196903,Willis Avenue Apartments,"14731 W Rayen St 1-42  Los Angeles, Ca 91402",PANORAMA CITY,New Construction,Seniors,3119057,14281039,0,17400096,http://hcidapp.lacity.org/mpphotos/10-117630/Photo/Website/10-117630.JPG
2651009078,-118.4506397,34.23862259,Tobias Terrace Apartments,9247 N Van Nuys Blvd 1-56 Ca 91402,PANORAMA CITY,New Construction,Family,4856000,12875942,0,17731942,http://hcidapp.lacity.org/mpphotos/11-118591/Photo/Website/11-118591.JPG
5137007027,-118.2702179,34.0489941,James Wood Apartments,1328 W James M Wood Blvd 1-18 Ca 90015,PICO-UNION,New Construction,Family,3233454,14858587,2100000,20192041,http://hcidapp.lacity.org/mpphotos/040001/Photo/Website/James%20Woods%20(1).jpg
5135016017,-118.2809006,34.04092927,Leeward Apts. (Site 3),1134 W 17Th St 1-28 Ca 90015,PICO-UNION,Rehab,Family,0,7103994,10208936,17312930,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5137034009,-118.2790844,34.04649912,Concord Apartments (Grp. A & B) (Site 7),1682 W 12Th Pl Ca 90006,PICO-UNION,Rehab,Family,0,7334438,8579256,15913694,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5137025004,-118.2752846,34.04671885,Concord Apartments (Grp. A & B) (Site 8),1546 W 11Th Pl Ca 90015,PICO-UNION,Rehab,Family,0,7334438,8579256,15913694,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5135005008,-118.2806622,34.04459013,Concord Apartments (Grp. A & B) (Site 9),1350 S Bonnie Brae St Ca 90006,PICO-UNION,Rehab,Family,0,7334438,8579256,15913694,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5135004006,-118.281382,34.04630484,Two World Apartments (Site 3),1306 S Westlake Ave Ca 90006,PICO-UNION,Rehab,Seniors,3225000,17094146,0,20319146,http://hcidapp.lacity.org/mpphotos/070172/Photo/Website%20Site3/Two%20Worlds%201306%20S.%20Westlake%20-%20070172.png
5056012007,-118.2862383,34.04103531,Professional Hsg. & Dev. Apts. (Ph & D) (Site 5),"1810 S Magnolia Ave  Los Angeles, Ca 90006",PICO-UNION,Rehab,Family,4575000,10250907,0,14825907,http://hcidapp.lacity.org/mpphotos/080053/Photo/Website%20Site5/PH&D%201810%20Magnolia.jpg
5137032023,-118.2756514,34.04493775,Mosaic Apartments,1521 W Pico Blvd 1-56 Ca 90015,PICO-UNION,New Construction,Family,746480,20733937,0,21480417,http://hcidapp.lacity.org/mpphotos/09-117198/Photo/Website/mosaic%20cropped.png
5076019031,-118.2905101,34.04814997,Menlo Family Housing,"1230 S Menlo Ave  Los Angeles, Ca 90006",PICO-UNION,New Construction,Family,6309887,19253250,0,25563137,http://hcidapp.lacity.org/mpphotos/10-104715/Photo/Website/10-104715.JPG
5076019029,-118.2893178,34.04831475,Freeman Villa,1229 S Westmoreland Ave Ca 90006,PICO-UNION,Acquisition + Rehab,Seniors,0,3973637,3886000,7859637,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
4322010032,-118.4323701,34.03854961,Pico Veteran Senior Housing,10991 W Pico Blvd Ca 90064,RANCHO PARK,New Construction,Seniors,2400000,8573015,0,10973015,http://hcidapp.lacity.org/mpphotos/07-117248/Photo/Website/Pico%20Veteran%20Senior%20Housing.jpg
